User_ID,Location,Age
37361,carrollton_ georgia_ usa,38
210375,portim�o_ algarve_ portugal,37
96514,south pasadena_ florida_ usa,43
180211,jerez de la frontera_ cadiz_ spain,21
113835,ashland city_ tennessee_ usa,45
68479,egg harbor_ new jersey_ usa,39
261172,tel-aviv_ n/a_ israel,57
98050,beirut_ middle east_ lebanon,28
88283,hamburg_ hamburg_ germany,24
78038,perth_ western australia_ australia,30
58335,walled lake_ michigan_ usa,32
89299,east moline_ illinois_ usa,32
200866,tsawwassen_ british columbia_ canada,55
26849,leon_ leon_ spain,19
113319,mckinney_ texas_ usa,24
94138,west hartford_ connecticut_ usa,26
88879,san diego_ california_ usa,45
107424,toronto_ ontario_ canada,20
38152,heidelberg_ baden-wuerttemberg_ germany,23
214769,portland_ oregon_ usa,31
54270,borger_ texas_ usa,53
109028,ourense_ galicia_ spain,25
52444,boston_ massachusetts_ usa,38
249488,dettenheim_ baden w�rttemberg_ germany,43
14894,plymouth_ massachusetts_ usa,21
141830,oceanside_ california_ usa,25
198363,brighton_ england_ united kingdom,61
31117,jepara_ jateng_ indonesia,19
16198,tacna_ tacna_ peru,32
152235,rowlett_ texas_ usa,34
249409,bellevue_ washington_ usa,35
68075,kings mountain_ north carolina_ usa,39
135435,north ferriby_ n/a_ united kingdom,37
79573,mumbai_ maharashtra_ india,19
234417,turku_ l�nsi-suomen l��ni_ finland,22
58652,ile de france_ ile de france_ france,28
117689,edinburgh_ scotland_ united kingdom,33
229170,besan�on_ franche-comt�_ france,42
259776,leeds_ england_ united kingdom,34
92015,sarasota_ florida_ usa,55
123150,apo09138_ rheinland-pfalz_ germany,32
69619,montes de oca_ san jose_ costa rica,73
203444,hamilton_ ontario_ canada,28
257457,yuba city_ california_ usa,15
34831,paranaque_ metro manila_ philippines,19
61839,santa barbara_ california_ usa,19
210379,centerport_ new york_ usa,41
210907,wrbn_ bern_ switzerland,16
185123,dublin_ leinster_ ireland,31
215864,west columbia_ south carolina_ usa,28
205583,cluj_ n/a_ romania,34
105827,pamplona_ navarra_ spain,22
112171,grenfell_ saskatchewan_ united kingdom,25
51418,saltillo_ coahuila_ mexico,50
139269,parker_ colorado_ usa,36
202385,medina_ ohio_ usa,52
178815,pleasant hill_ iowa_ usa,30
222655,torrington_ connecticut_ usa,53
201702,st. george_ ontario_ canada,23
253092,roswell_ georgia_ usa,48
114841,sewickley_ pennsylvania_ usa,29
278286,boca raton_ florida_ usa,49
152514,san diego_ california_ usa,61
169141,goettingen_ niedersachsen_ germany,27
162253,berkeley_ ca (or south hadley_ ma 01075)_ usa,22
135440,thunder bay_ ontario_ canada,21
43476,raleigh_ north carolina_ usa,25
133574,raritan_ new jersey_ usa,34
61549,london_ england_ united kingdom,44
118463,hamilton_ waikato_ new zealand,18
195750,new york city_ new york_ usa,23
201353,st. thomas_ ontario_ canada,19
115390,peru_ indiana_ usa,23
32648,methuen_ massachusetts_ usa,32
49830,morton_ pennsylvania_ usa,47
113637,gif-sur-yvette_ ile-de-france_ france,57
208461,burlington_ wisconsin_ usa,29
256183,istanbul_ n/a_ turkey,39
43451,madrid_ madrid_ spain,34
209265,seattle_ washington_ usa,44
82460,chesapeake_ virginia_ usa,21
168973,plymouth__ minnesota_ usa,71
74338,sevilla_ new york_ spain,24
36171,christie downs_ south australia_ australia,24
220457,johor bahru_ johor_ malaysia,13
92523,evanston_ illinois_ usa,70
26368,hacienda heights_ california_ usa,42
67269,northville_ michigan_ usa,65
124822,minneapolis_ minnesota_ usa,35
177545,buenos aires_ n/a_ argentina,23
46372,t�bingen_ baden-wuerttemberg_ germany,16
36331,lecce_ puglia_ italy,31
58430,beijing_ beijing_ china,28
262234,tampere_ pirkanmaa_ finland,13
122185,everett_ washington_ usa,45
231561,andover_ massachusetts_ usa,56
189683,summerville_ south carolina_ usa,58
180688,maurertown_ virginia_ usa,21
167315,udine_ friuli venezia giulia_ italy,28
97377,apeldoorn_ gelderland_ netherlands,47
147577,nancy_ lorraine_ france,18
9332,padova_ veneto_ italy,23
221365,mountain view_ california_ usa,34
23774,seattle_ washington_ usa,41
135064,san jose_ california_ usa,18
106985,jersey city_ new jersey_ usa,25
116333,pordenone_ friuli venezia giulia_ italy,28
218191,arlington_ texas_ usa,39
209981,manchester_ england_ united kingdom,21
61260,chicago_ illinois_ usa,21
28518,wilton_ connecticut_ usa,42
2505,denville_ new jersey_ usa,61
185387,astoria_ new york_ usa,56
188042,lagos_ anambra_ nigeria,16
215084,rialto_ california_ usa,17
4227,athens_ attiki_ greece,34
143497,oakland_ california_ usa,36
201814,princeton_ new jersey_ usa,23
153651,norwich_ england_ united kingdom,37
62994,santa iria de az�ia_ lisboa_ portugal,27
25756,cumbernauld_ scotland_ united kingdom,39
210801,burntisland_ scotland_ united kingdom,50
255294,biarritz_ aquitaine_ france,32
91243,longwood_ florida_ usa,66
152503,canberra_ australian capital territory_ australia,23
23789,oglianico_ piemonte_ italy,25
37657,hedingen_ z�rich_ switzerland,21
215775,lausanne_ vaud_ switzerland,22
207266,salem_ oregon_ usa,54
158414,m�nchen_ bayern_ germany,56
67705,gurgaon_ haryana_ india,20
205901,arlington_ tennessee_ usa,30
80096,antwerp_ antwerpen_ belgium,23
165365,westerland/ sylt_ schleswig-holstein_ germany,22
237311,prince george_ british columbia_ canada,19
251883,milan_ lombardia_ italy,29
167563,bellevue_ washington_ usa,27
129495,sao goncalo_ dc_ barbados,24
68507,meridian_ idaho_ usa,41
104229,doncaster_ victoria_ australia,14
16699,kent_ washington_,26
44745,st. paul_ minnesota_ usa,51
16802,hayling island_ hampshire_ england,62
155611,seattle_ washington_ usa,38
57018,greenfield_ indiana_ usa,52
171413,vicenza_ veneto_ italy,21
242812,livermore_ california_ usa,18
154541,windham_ new hampshire_ usa,21
67526,victoria_ texas_ usa,49
60580,colton_ california_ usa,33
269760,los angeles_ california_ usa,43
250962,vancouver_ british columbia_ canada,24
25713,chandernagore_ west bengal_ india,73
40013,estel�_ estel�_ nicaragua,28
122386,manistee_ michigan_ usa,31
115518,gloucester_ england_ united kingdom,34
136878,tashkent_ samarkand_ uzbekistan,23
78696,oakville_ ontario_ canada,54
86067,logan_ utah_ usa,33
142121,waipahu_ hawaii_ usa,33
165886,new castle_ delaware_ usa,35
79352,brussels_ n/a_ belgium,41
132333,warner robins_ georgia_ usa,19
267006,mount gilead_ ohio_ usa,51
194457,stamford_ connecticut_ usa,54
139522,sydney_ _,28
180959,woking_ england_ united kingdom,29
118413,phoenix_ arizona_ usa,51
207497,sykesville_ maryland_ usa,18
33237,tamarac_ florida_ usa,61
18741,kerpen_ nordrhein-westfalen_ germany,44
55538,seattle_ washington_ usa,32
72847,genova_ liguria_ italy,17
190278,tyrone_ pennsylvania_ usa,31
271211,cumana_ sucre_ venezuela,40
70513,albuquerque_ new mexico_ usa,13
5846,dunedin_ n/a_ new zealand,24
249319,almer�a_ almer�a_ spain,25
183824,marseille_ provence_ france,27
4509,hamburg_ hamburg_ germany,30
246600,badajoz_ badajoz_ spain,34
40301,edinburgh_ scotland_ united kingdom,43
164823,hudson_ wisconsin_ usa,37
169051,west hartford_ connecticut_ usa,44
111179,tampa_ florida_ usa,51
189821,izmir_ yukon territory_ turkey,23
114331,antigonish_ nova scotia_ canada,50
186710,mount vernon_ washington_ usa,14
135896,bristol_ avon_ united kingdom,30
246620,windsor_ maine_ usa,15
218228,dhar_ m.p._ india,27
147020,westmount_ quebec_ canada,47
272690,long beach_ new york_ usa,54
155820,seattle_ _,33
240574,woodland_ california_ usa,37
8838,dun laoghaire_ co. dublin_ ireland,21
116158,whitney point_ new york_ usa,45
54326,crescent city_ florida_ usa,62
5853,lasarte_ gipuzkoa_ spain,19
28563,calgary_ alberta_ canada,25
203844,moncton_ new brunswick_ canada,40
187470,lexington_ kentucky_ usa,41
161498,landau_ rheinland-pfalz_ germany,45
52843,sunnyvale_ california_ usa,49
15338,santiago_ regi�n metropolitana_ chile,31
232453,sammamish_ washington_ usa,41
273618,delta_ british columbia_ canada,41
218879,cumberland_ maryland_ usa,53
203818,marietta_ georgia_ usa,15
142245,marton_ n/a_ new zealand,49
201721,sydeny_ new south wales_ australia,15
84659,poynette_ wisconsin_ usa,48
39454,a coru�a_ a coru�a_ spain,22
22232,san jose_ san jose_ costa rica,35
261929,zaragoza_ arag�n_ spain,26
51787,everett_ washington_ usa,30
265534,hilo_ hawaii_ usa,45
209177,chichester_ england_ united kingdom,70
199963,houston_ texas_ usa,38
133153,lewisburg_ tennessee_ usa,44
225003,enschede_ overijssel_ netherlands,65
223076,wagga wagga_ new south wales_ australia,23
251338,milton keynes_ buckinghamshire_ united kingdom,32
105053,atlanta_ georgia_ usa,25
88136,wall_ new jersey_ usa,14
260479,errenteria_ pais vasco_ spain,19
36746,clear spring_ maryland_ usa,34
66990,erie_ pennsylvania_ usa,24
250693,hancock_ michigan_ usa,27
80841,peachtree city_ georgia_ usa,51
15455,lowell_ arkansas_ usa,41
19735,london_ ontario_ canada,59
170868,pasig city_ ncr_ philippines,28
616,fremont_ california_ usa,34
124956,richardson_ texas_ usa,51
144396,west hills_ california_ usa,55
69204,bremen_ bremen_ germany,60
227745,buzzards bay_ massachusetts_ usa,23
56375,seville grove_ western australia_ australia,38
10574,madrid_ madrid_ spain,39
20127,porto_ porto_ portugal,29
271621,shanghai_ shanghai_ china,19
29522,v�ster�s_ v�stmanland_ sweden,35
169046,huron_ ohio_ usa,49
120,villeneuve d`ascq_ nord_ france,13
8935,little elm_ texas_ usa,35
20664,los angeles_ california_ usa,32
96135,pittston_ pennsylvania_ usa,30
156773,lisbon - lisboa_ n/a_ portugal,42
179657,portsmouth_ new hampshire_ usa,26
142872,latina_ latina_ italy,40
138847,coquitlam_ british columbia_ canada,22
9891,ashland_ kentucky_ usa,48
177975,london_ england_ united kingdom,24
127923,brooklyn_ new york_ usa,27
275908,charing cross_ new south wales_ australia,44
17392,pamplona_ navarra_ spain,16
194309,madrid_ madrid_ spain,26
37954,rockland_ massachusetts_ usa,38
72274,benidorm_ n/a_ spain,32
32332,norfolk_ virginia_ usa,42
84257,snohomish_ washington_ usa,57
105155,eagleriver_ alaska_ usa,24
11986,roma_ lazio_ italy,58
53909,cluj_ new jersey_ greece,53
251499,maryville_ tennessee_ usa,25
100609,valladolid_ valladolid_ spain,27
187092,barcelona_ florida_ spain,28
261283,koeln_ nordrhein-westfalen_ germany,45
258820,ann arbor_ michigan_ usa,48
1934,kuopio_ n/a_ finland,18
265959,muncie_ indiana_ usa,21
183032,stirling_ ontario_ canada,47
175975,glasgow_ scotland_ united kingdom,18
144892,hantsport_ nova scotia_ canada,54
139292,montmorency_ n/a_ france,40
154643,malvern_ worcestershire_ united kingdom,35
63404,pomfret_ connecticut_ usa,51
122698,wien_ vienna_ austria,27
29603,madrid_ madrid_ spain,28
106538,ypsilanti_ michigan_ usa,44
222424,hancock_ michigan_ usa,57
14108,denver_ colorado_ usa,40
43140,bexleyheath_ england_ united kingdom,52
106105,jackson_ wyoming_ usa,33
212949,louisville_ tennessee_ usa,36
201295,colonial heights_ virginia_ usa,37
28077,toronto_ ontario_ canada,58
277737,west orange_ new jersey_ usa,50
152079,preston_ north west england_ united kingdom,34
1546,overland_ missouri_,40
180075,frazee_ minnesota_ usa,33
43870,laceyville_ pennsylvania_ usa,53
104527,galapagar_ madrid_ spain,19
2585,paris_ paris_ france,25
255765,lahad datu_ sabah_ malaysia,54
36765,blackwell_ oklahoma_ usa,31
275014,sydney_ new south wales_ australia,21
276259,manchester_ england_ united kingdom,28
138913,jonesboro_ arkansas_ usa,41
40439,cala d`or_ illes balears_ spain,46
278717,mayag�ez_ puerto rico_,53
182921,nottingham_ n/a_ united kingdom,23
3879,cliffside park_ new jersey_ usa,40
12389,san francisco_ california_ usa,26
83605,houston_ texas_ usa,63
128760,st paul_ minnesota_ usa,42
180468,st. gallen_ st. gallen_ switzerland,21
147346,east sussex_ england_ united kingdom,31
226484,taiwan_ taipei_ taiwan,17
65021,pittsburgh_ pennsylvania_ usa,20
267361,porsgrunn_ n/a_ norway,33
147784,sarasota_ florida_ usa,29
3758,barcelona_ catalunya_ spain,37
36654,onalaska_ texas_ usa,46
229910,warszawa_ mazowieckie_ poland,26
255635,muskegon_ michigan_ usa,66
196165,toronto_ ontario_ canada,34
88018,cucciago_ como_ italy,40
162226,vancouver_ british columbia_ canada,19
754,leverkusen_ nordrhein-westfalen_ germany,33
267023,dortmund_ nordrhein-westfalen_ germany,31
266827,houston_ texas_ usa,22
220831,barcelona_ baden-wuerttemberg_ spain,46
276491,bogor_ indonesia_ indonesia,25
48836,auckland_ alaska_ new zealand,20
264951,portonovo_ pontevedra_ spain,43
10278,liskeard_ england_ united kingdom,34
144325,warren_ ohio_ usa,20
154261,mannheim_ baden-wuerttemberg_ germany,32
96121,chicago_ illinois_ usa,22
116174,chicago_ illinois_ usa,17
121350,dillwyn_ virginia_ usa,25
269408,buckarest_ buckarest_ romania,21
28019,igualada_ baden-wuerttemberg_ spain,25
265875,champaign_ illinois_ usa,68
203376,pasadena_ texas_ usa,46
239665,louisville_ kentucky_ usa,25
199939,portland_ oregon_ usa,32
8127,kent_ england_ united kingdom,22
276184,xix�n_ asturies_ spain,16
155506,endwell & sarasota fl_ new york_ usa,65
150704,calgary_ _,24
232316,oakland_ california_ usa,28
86262,sevilla_ sevilla_ spain,24
10003,spokane_ washington_ usa,20
102665,harbord_ new south wales_ australia,25
17740,middlebury_ vermont_ usa,34
246250,newbury_ england_ united kingdom,42
82401,aberdeen_ scotland_ united kingdom,17
137992,arezzo_ toscana_ italy,33
176252,san jose_ california_ usa,36
83407,oakley_ michigan_ usa,15
115155,memphis_ tennessee_ usa,58
244044,pensacola_ florida_ usa,64
147996,port townsend_ washington_ usa,16
72990,watertown_ new york_ usa,31
30232,new orleans_ louisiana_ usa,32
257905,fisher_ illinois_ usa,44
84439,boston_ massachusetts_ usa,24
71300,germering_ bayern_ germany,31
95895,luzarches_ france_ france,19
255272,reus_ rheinland-pfalz_ spain,43
79829,crewe_ england_ united kingdom,39
110399,barcelona_ barcelona_ spain,20
79525,portland_ oregon_ usa,24
197820,cologne_ nordrhein-westfalen_ germany,20
261168,madrid_ madrid_ spain,30
269896,oxford_ connecticut_ usa,26
23016,avonsleigh_ victoria_ australia,58
80074,leatherhead_ rhode island_ united kingdom,54
202413,peoria_ arizona_ usa,60
194490,madrid_ madrid_ spain,39
209189,wetzlar_ alaska_ germany,49
153421,hartford_ connecticut_ usa,22
187580,wrexham_ wales_ united kingdom,23
243843,neenah_ wisconsin_ usa,34
195713,canet de mar_ n/a_ spain,41
4043,buenos aires_ �n/a�_ argentina,26
107116,vail_ colorado_ usa,43
214815,kansascity_ missouri_ usa,52
176180,sao paulo_ sao paulo_ brazil,34
132155,lake havasu city_ arizona_ usa,45
97587,toronto_ ontario_ canada,45
272314,hamilton_ ontario_ canada,30
154736,olympia_ washington_ usa,30
239205,roma_ lazio_ italy,35
183680,camrose_ alberta_ canada,37
86681,iligan city_ _,22
251762,clinton township_ michigan_ usa,39
119478,barnstaple_ england_ united kingdom,43
99106,sao paulo_ sao paulo_ brazil,43
132920,milton_ ontario_ canada,46
234781,east malvern_ victoria_ australia,45
219585,singapore_ n/a_ singapore,24
253037,london_ england_ united kingdom,34
270941,mostoles_ madrid_ spain,26
190485,kingston_ ontario_ canada,54
185357,new york_ new york_ usa,30
192439,barcelona_ barcelona_ spain,27
87665,denver_ colorado_ usa,33
173715,paisley_ scotland_ united kingdom,24
191515,in the hills of_ tennessee_ usa,24
250664,dartford_ england_ united kingdom,40
125918,moscow_ idaho_ usa,31
237607,kandel_ rheinland-pfalz_ germany,33
165201,huddersfield_ england_ united kingdom,21
136824,ajax_ ontario_ canada,34
77896,austin_ texas_ usa,25
227054,nampa_ idaho_ usa,27
37952,danville_ california_ usa,49
277552,cleveland_ ohio_ usa,44
239109,grinnell_ iowa_ usa,18
191894,seattle_ washington_ usa,39
13755,arlington heights_ illinois_ usa,16
5719,cortlandt manor_ new york_ usa,50
104136,coburg_ bayern_ germany,21
111063,alicante_ alicante_ spain,25
248485,hillsboro_ new hampshire_ usa,30
123575,san isidro_ lima_ peru,51
207846,southport_ north carolina_ usa,69
30002,lisbon_ maine_ usa,45
112961,omaha_ nebraska_ usa,46
223739,oakleigh_ victoria_ australia,35
59234,arlington_ texas_ usa,48
36538,sierra vista_ arizona_ usa,66
85742,valparaiso_ indiana_ usa,27
147096,stillwater_ minnesota_ usa,45
212971,adelaide_ south australia_ australia,36
191280,madrid_ madrid_ spain,40
243600,london_ england_ united kingdom,34
142791,drifting_ pennsylvania_ usa,44
121434,los angeles_ california_ usa,35
199606,hackett_ arkansas_ usa,51
26355,vancouver_ british columbia_ canada,57
43777,joliet_ illinois_ usa,29
187114,brackley_ northamptonshire_ united kingdom,26
230440,figueira da foz_ distrito de coimbra_ portugal,26
6148,hamburg_ hamburg_ germany,32
76037,enniskillen_ northern ireland_ united kingdom,63
99217,nis_ serbia_ yugoslavia,21
160959,westlake_ ohio_ usa,57
144704,colchester_ england_ united kingdom,46
36903,sydney_ new south wales_ australia,23
127205,iowa city_ iowa_ usa,58
274328,aberdeen_ scotland_ united kingdom,32
138964,blum_ texas_ usa,51
107263,plymouth_ new hampshire_ usa,21
238981,gloucester_ midlands_ united kingdom,27
141167,main beach_ queensland_ australia,55
207802,milroy_ indiana_ usa,15
201672,london_ england_ united kingdom,31
162933,portales_ _,49
73954,brooklyn_ new york_ usa,20
192487,buenos aires_ capital federal_ argentina,39
196651,gloucester_ england_ united kingdom,20
190301,royal palm beach_ florida_ usa,51
117168,warrenton_ north carolina_ usa,56
132516,bathurst_ new south wales_ australia,35
179939,barcelona_ granollers_ spain,27
224840,oxford_ england_ united kingdom,29
10620,lausanne_ vaud_ switzerland,30
26858,t�bingen_ baden-wuerttemberg_ germany,32
134330,m�laga_ n/a_ spain,42
93879,waterloo_ iowa_ usa,49
143014,bielefeld_ nordrhein-westfalen_ germany,22
245999,jyv�skyl�_ keski-suomi_ finland,20
218739,london_ london_ united kingdom,33
35583,allegan_ michigan_ usa,45
98424,eugene_ oregon_ usa,57
180614,ssf_ nebraska_ usa,58
145514,arezzo_ toscana_ italy,19
232025,oklahoma city_ oklahoma_ usa,35
161125,riva del garda_ trentino alto adige_ italy,23
113737,kissimmee_ florida_ usa,34
99089,pleasanton_ california_ usa,57
65292,beulah_ north dakota_ usa,57
130402,auburn hills_ michigan_ usa,34
173293,hartford city_ indiana_ usa,19
190376,roanoke_ virginia_ usa,15
196618,toronto_ ontario_ canada,17
123124,st. charles_ missouri_ usa,35
8601,newcastle-upon-tyne_ tyneside_ united kingdom,44
243388,canillo_ nunavut_ andorra,39
40209,edinburgh_ scotland_ united kingdom,27
260415,lisbon_ lisbon_ portugal,34
105005,wilkes-barre_ pennsylvania_ usa,36
113050,longwood_ florida_ usa,42
75307,radcliff_ kentucky_ usa,25
241804,corvallis_ oregon_ usa,24
250050,kerrville_ texas_ usa,18
277233,mumbai_ maine_ india,26
247075,portage_ indiana_ usa,32
18209,singapore_ n/a_ singapore,30
119900,sherman_ texas_ usa,38
219933,mckees rocks_ pennsylvania_ usa,52
265417,toronto_ ontario_ canada,23
215037,andorra la vella_ ._ andorra,40
68921,houston_ texas_ usa,28
13135,brampton_ ontario_ canada,40
102706,seminole_ texas_ usa,50
13686,mcgregor_ texas_ usa,24
74001,coleford_ england_ united kingdom,24
53169,london_ ontario_ canada,38
170433,melbourne_ victoria_ australia,30
45667,san francisco_ california_ usa,24
167432,ironwood_ michigan_ usa,66
106584,sherard_ illinois_ usa,22
243320,aptos_ california_ usa,56
274122,kocaeli_ n/a_ turkey,41
258612,downingtown_ pennsylvania_ usa,28
104074,edington_ england_ united kingdom,21
71035,stockton_ california_ usa,32
86074,oceanside_ california_ usa,34
153565,bari_ puglia_ italy,27
134964,bee spring_ kentucky_ usa,26
6937,mondragon_ euskadi_ spain,51
68656,niter�i_ rio de janeiro_ brazil,26
235821,ames_ iowa_ usa,71
108772,qualicum beach_ _ canada,35
243042,baltimore_ maryland_ usa,19
12772,new york_ new york_ usa,46
12688,downingtown_ pennsylvania_ usa,58
54012,leuven_ vlaams-brabant_ belgium,17
145342,paraparaumu_ kapiti coast_ new zealand,36
39593,brisbane_ queensland_ australia,33
257801,rensselaer_ new york_ usa,41
143997,drammen_ buskerud_ norway,42
102734,niceville_ florida_ usa,31
231055,centreville_ virginia_ usa,39
77866,warrington_ pennsylvania_ usa,47
253982,catanzaro_ calabria_ italy,30
258293,little chute_ wisconsin_ usa,21
83635,manhasset_ new york_ usa,17
84370,plano_ texas_ usa,17
73119,coventry_ england_ united kingdom,18
178773,a coru�a_ galicia_ spain,32
139230,gillette_ wyoming_ usa,35
248369,gonzales_ louisiana_ usa,18
137734,milano_ lombardia_ italy,27
5689,stourbridge_ england_ united kingdom,34
172042,melbourne_ victoria_ australia,40
56440,madrid_ madrid_ spain,45
152312,portland_ oregon_ usa,20
158069,tehran_ iran_ iran,43
87222,peoria_ arizona_ usa,23
75794,lebanon_ tennessee_ usa,24
131196,trenton_ new jersey_ usa,46
10690,toronto_ ontario_ canada,40
72509,buffalo_ new york_ usa,15
140984,evesham_ worcestershire_ united kingdom,56
131972,new york_ new york_ usa,21
39971,barcelona_ catalunya_ spain,47
114747,guelph_ ontario_ canada,28
262764,stamford_ connecticut_ usa,61
133640,lansing_ michigan_ usa,67
90422,abingdon_ maryland_ usa,59
192808,atlanta_ georgia_ usa,56
213767,san jose_ california_ usa,22
173379,manchester_ england_ united kingdom,20
233203,minnreapolis_ minnesota_ usa,27
79077,lund_ n/a_ sweden,24
99922,hamburg_ hamburg_ germany,37
194647,halifax_ england_ united kingdom,34
95172,denver_ colorado_ usa,35
48457,lincoln_ nebraska_ usa,36
270359,barrow in furness_ cumbria_ united kingdom,43
111908,duluth_ minnesota_ usa,27
44592,barcelona_ catalonia_ spain,60
276714,n/a_ n/a_ singapore,31
80516,columbus_ ohio_ usa,36
219569,cedar rapids_ iowa_ usa,41
131627,bloomfield_ michigan_ usa,51
22517,akron_ ohio_ usa,53
276238,calgary_ alberta_ canada,35
17589,westminster_ maryland_ usa,46
225013,azuqueca de henares_ n/a_ spain,32
153192,porto alegre_ rio grande do sul_ brazil,26
58634,manresa_ barcelona_ spain,29
162907,sydney_ new south wales_,35
150793,chicago_ illinois_ usa,25
146374,lisbon_ n/a_ portugal,27
79025,stockholm_ n/a_ sweden,26
112311,delmar_ new york_ usa,47
65762,alcorcon_ madrid_ spain,56
213100,adelaide_ south australia_ australia,19
98610,gijon_ n/a_ spain,41
96867,maipu_ mendoza_ argentina,27
6586,barcelona_ calabria_ spain,32
180852,g�teborg_ g�teborg_ sweden,36
69599,boulder_ colorado_ usa,26
109702,berlin_ berlin_ germany,31
272790,murrumbeena_ victoria_ australia,53
116676,bowmanville_ ontario_ canada,47
101367,marblehead_ massachusetts_ usa,26
264775,lacey_ washington_ usa,67
92084,sydney_ new south wales_ australia,27
262723,howard city_ michigan_ usa,33
43704,oshkosh_ wisconsin_ usa,54
108553,setubal_ n/a_ portugal,26
177284,colorado springs_ colorado_ usa,30
115307,cicero_ indiana_ usa,66
140043,portland_ oregon_ usa,34
96000,zurich_ zurich_ switzerland,28
38491,san diego_ california_ usa,28
39932,b�lach_ bayern_ switzerland,42
24504,perpignan_ languedoc-roussillon_ france,44
229607,louisville_ kentucky_ usa,17
270680,sevilla_ sevilla_ spain,23
5177,barcelona_ catalunya_ spain,53
78827,santa clarita_ california_ usa,27
191473,duarte_ california_ usa,18
226475,geelong_ victoria_ australia,25
1318,le�n_ castilla-le�n_,33
274146,donostia_ gipuzkoa_ spain,23
176377,rotorua_ n/a_ new zealand,13
35779,hamburg_ hamburg_ germany,37
1042,queensbury_ new york_ usa,40
119225,minto heights_ new south wales_ australia,47
129482,claremore_ oklahoma_ usa,24
264455,nijmegen_ gelderland_ netherlands,68
162163,istanbul_ marmara_ turkey,29
84724,senecaville_ ohio_ usa,32
222265,vienna_ n/a_ austria,41
175204,bellevue_ washington_ usa,47
38520,mesa_ arizona_ usa,37
95667,porto_ porto_ portugal,24
35446,z�rich_ z�rich_ switzerland,34
33226,maidstone_ england_ united kingdom,49
8625,sydney_ new south wales_ australia,14
241842,capital federal_ capital federal_ argentina,28
106041,valencia_ valencia_ spain,31
87573,golden_ colorado_ usa,34
180038,pointe-claire_ quebec_ canada,21
203395,campinas_ s�o paulo_ brazil,27
