ISBN,Book_Title,Book_Author,Year_Publication,Publisher
262621053,Chambers for a Memory Palace,Donlyn Lyndon,1996,The MIT Press
1570544018,Beaded Bobby Pins,Marilyn Green,1999,Klutz Press
3203507099,Die Riesen vom Bisamberg: Roman,Hans Heinz Hahnl,1979,Europaverlag
8421615386,El Tiempo y la Promesa,Concha Lopez Narvaez,1990,Lectorum Publications
806511249,Deceptions and Myths of the Bible,Lloyd Graham,1989,Citadel Press
9029051787,Eindelijk oorlog: Roman (Meulenhoff editie),Herman Koch,1996,Meulenhoff
553456482,Comfort from a Country Quilt: Finding New Inspiration and Strength from Old-Fashioned Values,Reba McEntire,1999,Random House
817215662,Fastest Woman on Earth,Alida M. Thacher,1980,Raintree/Steck Vaughn
1883478219,The Souls of Animals,Gary Kowalski,1999,Stillpoint Publishing
60080841,The Stepford Wives,Ira Levin,2002,Perennial
590010905,The Nba's 10 Greatest Teams Ever (NBA Fast Breaks),Howard Blatt,1999,Scholastic
081670645X,Amazing Mark (Happy Times Adventures),Robyn Supraner,1986,Troll Communications Llc
1568300522,Adobe Premiere (Classroom in a book),Adobe Systems Inc,1993,Adobe Press
9602263342,Four Seasons Greek Philosophy,O'sul,1987,Efstathiadis Group
395083532,J.B. : A Play in Verse,Archibald MacLeish,1989,Mariner Books
887532608,Dogs Know About Parades: Poems,Ted Plantos,2003,Black Moss Press
415163862,Jung and the Postmodern: The Interpretation of Realities,Christopher Hauke,2000,Routledge
441157084,Dry Fork Incident,Dan J. Stephens,1980,Ace Books
2070492494,Vous parlez d'une paroisse !,Hillary Waugh,1990,Gallimard
515091936,One Knee Equals Two Feet and Everything Else You Need to Know About Football,John Madden,1987,Jove Books
1858136016,The Life and Works of Botticelli (Worlds Greatest Artists Series),Edmund Swinglehurst,1997,Chelsea House Pub (L)
1565072243,I Stole God from Goody Two-Shoes,Heather Harpham Kopp,1994,Harvest House Pub
8571103216,O mistério do samba (Coleção Antropologia social),Hermano Vianna,1995,Editora UFRJ
038519045X,A Grave Without Flowers,Mary McMullen,1983,Bantam Dell Pub Group
451518985,Main Street,Sinclair Lewis,1982,Penguin Putnam~mass
671020552,Shock Wave,Clive Cussler,1998,Simon Pulse
515075035,Death of a Fool,Ngaio Marsh,1983,Jove Books
590025929,Franklin's New Friend (Franklin),Paulette Bourgeois,1997,Scholastic
786700602,Profile,C. J. Koehler,1994,Pub Group West
786889969,The Devil's Cure,Kenneth Oppel,2002,Hyperion Press
1579730078,Hercules: Lightning Strikes (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
9722111450,Terra do pecado: Romance,José Saramago,1997,Caminho
8495323311,Oil Painting,Jose M. Parramon,2001,LEMA Publications
253212731,The Essential Husserl: Basic Writings in Transcendental Phenomenology (Studies in Continental Thought),Edmund Husserl,1999,Indiana University Press
670036455,The Spirit Line,David Thurlo,2004,Viking Books
877739811,Entering the Stream,SAMUEL BERCHOLZ,1993,Shambhala
886777186,Fire Margins (Daw Book Collectors),Lisanne Norman,1996,Daw Books
486296954,The Mysterious Affair at Styles (Dover Mystery Classics),Agatha Christie,1997,Dover Publications
702227765,The Australian Yarn: The Definitive Collection,Ron Edwards,1996,International Specialized Book Services
2255006,The Girl Without Anyone,Kelli Deeth,2001,HarperFestival
968885500,Free Parking,Alan Dickson,2001,Preferred Marketing
3257060351,Nachbarn: Roman,Sibylle Mulot,1995,Diogenes
3570190269,Wahnsinn Wachstum. Wieviel Mensch ertr�?¤gt die Erde.,Reiner Klingholz,1994,Gruner &amp
380725363,Far North,Will Hobbs,1997,HarperCollins
1874166218,Introducing Postmodernism,Richard Appignanesi,1995,Natl Book Network
374462089,The Real Thief,William Steig,1984,Farrar
64430863,In the Night Kitchen,Maurice Sendak,1995,Harpercollins Childrens Books
671414518,JOHNNY TONIGHT,Craig Tennis,1980,Pocket
393050041,The Race to the White Continent: Voyages to the Antarctic,Alan Gurney,2000,W.W. Norton &amp
60957034,A Voyage for Madmen,Peter Nichols,2002,Perennial
60149876,The joke,Milan Kundera,1982,Harper &amp
399145192,The Edge,Catherine Coulter,1999,Putnam Berkley Audio
671036181,The Last Lovely City,Alice Adams,2000,Washington Square Press
189583757X,Beyond Coming Out:  Experiences of Positive Gay Identity,Kevin Alderson Ph.D.,2000,Insomniac Press
201354632,JavaScript for the World Wide Web: Visual QuickStart Guide (3rd Edition),Tom Negrino,1999,Peachpit Press
816736472,I Can Read About Sharks (I Can Read About),C. J. Nader,1996,Troll Communications
60929383,More Tales of the City (Showtime Tie-In Edition),Armistead Maupin,1998,Perennial
1893896897,Dream Traveler,J. A. Ferguson,2003,Imajinn Books
345432932,Boomernomics: The Future of Your Money in the Upcoming Generational Warfare (Library of Contemporary Thought (Ballantine Publishing Group).),William Paul Sterling,1998,Ballantine Books
913087025,Foods That Heal,Maureen K. Salaman,1989,MKS
954335007,French Leaves: Letter from the Languedoc,Christopher Campbell-Howes,2002,Romarin Ltd
425055337,The Altar Boy,S. J. Cassidy,1982,Berkley Pub Group
451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book
1558704418,The Crafts Supply Sourcebook: A Comprehensive Shop-By-Mail Guide for Thousands of Craft Materials (4th ed),Margaret A. Boyd,1996,F &amp
688078761,U.S.S.A.,David Madsen,1989,Harpercollins
60730056,Win a Date with Tad Hamilton!,Cristina Fox,2004,HarperFestival
307128539,Gemstones (The Golden Science Close-Up Series),Gina Ingoglia,1991,Random House Childrens Books
1931484198,Ruse v. 1: Enter the Detective,Mark Waid,2002,Cross Generation Comics
553275313,Venus on the Half Shell,Philip Jose Farmer,1988,Spectra Books
1864482435,Bog Bodies: Mummies and Curious Corpses (True Stories),Natalie Jane Prior,1996,Allen &amp
1932080139,The Knights of the Cross,Henryk Sienkiewicz,2002,Ross Books
3442432634,Die Scheibenwelt von A - Z.,Terry Pratchett,1996,Goldmann
743412753,No Way Out,Andrea Kane,2001,Pocket
393092526,On Liberty (Norton Critical Edition),John Stuart Mill,1975,W W Norton &amp
898796326,The Writer's Digest Character Naming Sourcebook,Sherrilyn Kenyon,1994,F &amp
1551539004,Canadian Rockies: A History in Photographs,Graeme Pole,1993,Altitude Pub Canada Ltd
671452908,Cupid Computer,Margie Milcsik,1983,Pocket Books
743483014,Irish Girls About Town : An Anthology of Short Stories,Maeve Binchy,2004,Pocket
140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd
446892920,Dark Dreams,C. L. Rinaldo,1976,Warner Books
146000129,Bartleby (Penguin 60s S.),Herman Melville,1995,Penguin Books Ltd
031274501X,Sonnets from the Portuguese: A Celebration of Love,Elizabeth Barrett Browning,1986,St. Martin's Press
778320634,Wedding Ring,Emilie Richards,2004,Mira Books
553586769,Banner of Souls,LIZ WILLIAMS,2004,Spectra
156632772,Murder in the Cathedral (A Harvest/Hbj Book),T. S. Eliot,1964,Harvest Books
850308186,Understanding Graphology,Ellen Cameron,1987,Thorsons Publishers
812104943,Psychiatric examination of children,James E Simmons,1974,Lea &amp
3770131894,Teebl�?¤tter und Taschendiebe.,Charlotte MacLeod,1998,DUMONT Literatur und Kunst Verlag
75554291,Random House Handbook,Frederick Crews,1987,McGraw-Hill Companies
385241194,Quite the Other Way,Kaylie Jones,1989,Bantam Dell Pub Group
399148515,The English Assassin,Daniel Silva,2002,G. P. Putnam's Sons
603032745,The Adventures of Mr Pink-Whistle,Enid Blyton,1990,Egmont Childrens Books
081672265X,Orchard of the Crescent Moon (A Troll Book),Jenny Nimmo,1991,Troll Communications
684873591,The Stories of Eva Luna,Isabel Allende,1999,Scribner
30476119,Earning Money Without a Job,Jay Conrad Levinson,1979,Holt Rinehart and Winston
385720327,In My Hands: Memories of a Holocaust Rescuer,Irene Gut Opdyke,2001,Anchor Books/Doubleday
056336355X,Woman's Hour Book of Humour: The Century's Funniest Female-Writing,Sally Feldman,1994,Bbc Pubns
312288573,Fear and Trembling : A Novel,Amelie Nothomb,2002,St. Martin's Griffin
312931964,Escape from Kathmandu,Kim Stanley Robinson,1989,St Martins Pr
671726161,Penelope's Hat,Ronald Frame,1991,Simon &amp
671832611,ZERO FACTOR,William Johnson,1980,Pocket
314024794,An Introduction to Management Science: Quantitative Approaches to Decision Making (Introduction to Management Science),David R. Anderson,1994,West Publishing Company
803711352,The Samurai's Daughter: A Japanese Legend,Robert D. San Souci,1992,Penguin USA
809235595,National Lampoon Presents True Facts: the Big Book,John  Bendel,1995,McGraw-Hill/Contemporary Books
1862047618,New Perspectives: Shamanism,Nevil Drury,2000,Harper Collins - UK
3453147375,Das Comeback.,Michael Connelly,1999,Heyne
1404315861,Major Barbara,George Bernard Shaw,2001,IndyPublish.com
60465840,Interior Design in the 20th Century,Allen Tate,1986,Addison-Wesley
440500281,M.D.: Doctors Talk About Themselves,John Pekkanen,1988,Bantam Dell Pub Group
2266067397,La Garenne,Jeanne Bourin,1999,Pocket
670863939,Monkey Business,J.Otto Seibold,1995,Viking Books
812932773,The 50 Greatest Love Letters of All Time,David H. Lowenherz,2002,Crown Publishers
1888173386,Seaspray and Whisky (Common Reader Editions),Norman Freeman,2001,Trafalgar Square
3442433126,Das Labor.,Robin Cook,1997,Goldmann
571169570,A Big Life,Susan Johnson,1993,Farrar Straus &amp
1551111314,Persuasion (Broadview Literary Texts),Jane Austen,1998,Broadview Press
316057517,The Trials of Life: A Natural History of Animal Behavior (Trials of Life),David Attenborough,1991,Little Brown &amp
2204057797,Le tombeau de Rachi,Cl�?©ment Weill Raynal,1997,Le Cerf
2070513335,Charlie Et LA Chocolaterie,Roald Dahl,2002,Gallimard Jeunesse
684867230,Walter's Purple Heart,Catherine Ryan Hyde,2002,Simon &amp
553252348,Dont Fall Off the Mountain,Shirley MacLaine,1985,Bantam Doubleday Dell
345397746,Media Virus!: Hidden Agendas in Popular Culture,Douglas Rushkoff,1996,Ballantine Books
60977205,The Transcendent Child: Tales of Triumph Over the Past,Lillian B. Rubin,1997,Perennial
590449095,All About Seeds (Do-It-Yourself Science),Melvin Berger,1994,Scholastic Paperbacks (T)
425158985,Through a Gold Eagle: A Glynis Tryon Mystery,Miriam Grace Monfredo,1997,Berkley Publishing Group
312283040,Angel Fire,Lisa Miscione,2002,St. Martin's Minotaur
380700247,The Ghostway,Tony Hillerman,1991,Avon Books
373612834,Secret Lullaby (Forrester Square),Isabel Sharpe,2003,Harlequin Books
743436733,The Lions of Lucerne,Brad Thor,2002,Atria
759902666,A Portrait in Time,Barbara Donlon Bradley,2001,Hard Shell Word Factory
3442422035,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann
055328570X,Boy Who Reversed Himself,William Sleator,1990,Starfire
688094325,The Charms of Tea: Reminiscences and Recipes,Victoria Magazine,1991,Hearst Corporation
875349250,Guide to Argentina (Highlights Top Secret Adventures),David Marshall,1996,Highlights for Children
915992116,Interpreting for Park Visitors,Lewis,1960,Americas Natl Parks
394834879,A selection of 24 poems from a child's garden of verses (A Random House pictureback),Robert Louis Stevenson,1978,Random House
1575668335,Birthday Party Murder: A Lucy Stone Mystery (Lucy Stone Mysteries (Paperback)),Leslie Meier,2003,Kensington Publishing Corporation
761508341,Love and War Between the Signs: Astrological Secrets to Emotional Compatibility,AMY KEEHN,1996,Prima Lifestyles
067101448X,Fiend : The Shocking True Story Of Americas Youngest Serial Killer,Harold Schechter,2000,Pocket
671884573,Intent to Harm,Stan Washburn,1994,Pocket Books
61013099,The Department of Correction,Tony Burton,1998,HarperTorch
375413553,Hollywood Animal : A Memoir,JOE ESZTERHAS,2004,Knopf
385185626,Vampires: Two Centuries of Great Vampire Stories,Alan Ryan,1987,Doubleday Books
747231044,Horsewoman In Godsland P[100,Edwards Claudia J,1988,Headline
500300410,Vampires: The World of the Undead (New Horizons),Jean Marigny,1994,Thames and Hudson Ltd
618154035,The Lord of the Rings Official Movie Guide,Brian Sibley,2001,Houghton Mifflin Company
1563152894,Katie's Church,L. A. Flick,2002,Sterlinghouse Publisher
931188342,Egalia's Daughters (Women in Translation Series),Gerd Brantenberg,1985,Pub Group West
2871421072,Le paradis!,Nicholas Allan,1997,Mijade
195123034,The Classical Greek Reader,Kenneth J. Atchity,1998,Oxford University Press
821740261,Dive to Oblivion (Zebra books),Richard P. Henrick,1993,Kensington Pub Corp (Mm)
886771811,Pride of Chanur #1,C J Cherryh,1987,Penguin Putnam~mass
087044512X,Our Threatened Inheritance: Natural Treasures of the U.S.,Ronald M. Fisher,1984,Simon &amp
877796033,The Merriam-Webster New Book of Word Histories,Merriam-Webster,1991,Merriam-Webster
1571312137,Homestead,Annick Smith,1996,Milkweed Editions
192762583,One Hundred Years of Poetry for Children,Michael Harrison,2000,Oxford University Press
312966938,House by the Side of the Road (Dead Letter Mysteries),Jan Gleiter,1999,St. Martin's Press
553568647,Raven and the Cowboy,Sandra Chastain,1996,Bantam
895295458,Smart Medicine for a Healthier Child: A Practical A-To-Z Reference to Natural and Conventional Treatments for Infants and Children,Janet Zand,1994,Avery Publishing Group
1572480475,How to Make a Georgia Will: With Forms : Self-Help Law Kit (Take the Law Into Your Own Hands),Edward P. Moses,1996,Sourcebooks Inc
1560763760,The Complete Book of Elves: Player's Handbook : Rules Supplement (Advanced Dungeons and Dragons),Colin McComb,1993,TSR
156027348,Odd Girl Out: The Hidden Culture of Aggression in Girls,Rachel Simmons,2003,Harvest Books
849995493,Joy For The Journey-repackage Repackage,Terri Gibbs,2001,J. Countryman
553246348,Spock Must Die! (Star Trek),James Blish,1989,Bantam
425098648,Night Chills,Dean R. Koontz,1996,Berkley Publishing Group
1562926292,God's Little Devotional Book for Teachers (God's Little Devotional Books),Honor Books,1999,Chariot Victor Pub
449224465,Darker Than Amber (Travis McGee Mysteries),John D. MacDonald,1996,Fawcett
821763806,Bayou Magic,Elizabeth Turner,1999,Zebra Books
2070410331,On acheve bien les chevaux,Mccoy Horace,1999,Gallimard
380756250,Once a Princess,Johanna Lindsey,1991,Avon
691042896,Time Series Analysis,James Douglas Hamilton,1994,Princeton University Press
140244379,The Dinner Party,Judy Chicago,1996,Penguin USA
701112719,Children at the Gate,Lynne Reid Banks,1975,Vintage/Ebury (A Division of Random House Group)
2877306453,Dogra magra,Yumeno/Kyusaku,2003,Philippe Picquier
3442722373,Die rechte Hand Gottes. Roman.,Michel Folco,1997,btb
751519340,The Hidden Shore (The Morland Dynasty Series),Cynthia Harrod-Eagles,2001,Warner Books
3442352290,Das Lied der Nacht. Der dritte Band der Logan- Saga.,V. C. Andrews,2000,Goldmann
046501299X,The Computers of Star Trek,Lois H. Gresh,2001,Basic Books
1565636260,A Woman's Guide to Healing the Heartbreak of Divorce,Rose Sweet,2001,Hendrickson Publishers
8501048771,De Gutenberg à internet: Direitos autorais na era digital,Henrique Gandelman,1997,Editora Record
896930459,Know What You Believe,Paul E. Little,1987,Cook Communications Ministries intl
140340246,An Episode of Sparrows,Rumer Godden,1989,Penguin USA
345314832,Clockwork Orange,Anthony Burgess,1983,Ballantine Books
809480875,Incidents in my life (Collector's library of the unknown),D. D Home,1991,Time Life Books
821713159,Forever Passion,Karena Bale,1984,Kensington Pub Corp (Mm)
1551052091,Mammals of Alberta (Lone Pine Field Guides),Chris Fisher,2003,Lone Pine Publishing
3522119401,Momo.,Michael Ende,1973,Thienemann Verlag
048627845X,Peter Rabbit and Eleven Other Favorite Tales (Dover Children's Thrift Classics),Beatrix Potter,1993,Dover Publications
8496136426,La Puerta En El Muro,H. G. Wells,2004,El Acantilado
002860086X,Betty Crocker's Easy Low-Fat Cooking,Betty Crocker,1995,MacMillan Publishing Company.
044043551X,Henry Huggins,Beverly Cleary,1979,Yearling Books
155934072X,Critical Thinking,Brooke Noel Moore,1992,Mayfield Publishing Company
60931671,The Crying of Lot 49,Thomas Pynchon,1999,Perennial Classics
307071014,Sesame Street Babies Busy Busy Day,Shaped Color,1995,Golden Books
395689961,The Love Letter,Cathleen Schine,1995,Houghton Mifflin
60174110,The Woman Who Lives in the Earth,Swain Wolfe,1996,HarperCollins Publishers
8433967487,El Arpa de Hierba,Truman Capote,2003,Anagrama
312983026,It's a Love Thang,Reon Laudat,2002,St. Martin's Paperbacks
373711158,The Inn at Oak Creek,Linda Barrett,2003,Harlequin
359650533X,Der Plan. Jubil�?¤ums- Edition.,Gerhard Roth,2002,Fischer (Tb.)
3453162986,Kilo Class.,Patrick Robinson,2000,Heyne
842380051,When Nations Die: Ten Warning Signs of a Culture in Crisis,Jim Nelson Black,1994,Tyndale House Pub
805065334,The Brass Wall : The Betrayal of Undercover Detective #4126,David Kocieniewski,2003,Henry Holt and Co.
2252341,The British ambassador,Michael Shea,1996,HarperCollins
688126685,The New Dynamics of Goal Setting: Flextactics for a Fast-Changing World,Denis Waitley,1996,William Morrow &amp
312855737,The Ivory and the Horn: A Newford Collection,Charles de Lint,1995,St Martins Pr
671799371,SHADES OF TWILIGHT,Linda Howard,1996,Pocket
345382218,Love in Full Bloom,Margaret Fowler,1994,Ballantine Books
764551043,Art for Dummies,Thomas  Hoving,1999,For Dummies
553486578,Camy Baker's It Must Be Love: 15 Cool Rules for Choosing a Better Boyfriend (Camy Baker's Series),Camy Baker,1999,Skylark Books
042514609X,Murder at the Spa,Stefanie Matteson,1994,Berkley Publishing Group
722506627,Modern Chinese Acupuncture,N.R. Lewith,1984,Natl Book Network
446362719,Escapade,Susan Kyle,1992,Warner Books
60242019,The Grandma Mix-Up (I Can Read),Emily Arnold McCully,1988,Harpercollins Juvenile Books
679405429,Pride and Prejudice (Everyman's Library Series),Jane Austen,1991,Unknown Publisher - Being Researched
689855583,Leprechaun Luck: A Wee Book of Irish Wisdom,Erin Gobragh,2003,Simon &amp
517800470,The Roundhill,Dick King-Smith,2000,Crown Publishing Group (NY)
847596074X,El luxe del llenguatge (Les Naus d'Empúries. Timó),Jesús Tusón,1986,Empúries
1551660156,Granite Man,Elizabeth Lowell,1994,Mira
590435086,The Ghost at Dawn's House (Baby-Sitters Club (Paperback)),Ann M. Martin,1991,Scholastic Paperbacks
671009621,The BLIZZARD DISASTER (FRIGHTMARES),Peg Kehret,1998,Aladdin
080949437X,Realm of the Iroquois (American Indians),Editors of Time-Life Books,1993,Time-Life Books
590448501,What Do You Do With a Kangaroo?,Mercer Mayer,1987,Scholastic
671645293,FIRST KILL LAWYERS,Alice Storey,1988,Pocket
055324860X,The Dark Arena,Mario Puzo,1985,Bantam Books
8474262453,Como Nos Venden La Moto,Noam Chomsky,1998,Icaria Editorial
312145519,Bite-Size Einstein: Quotations on Just About Everything from the Greatest Mind of the Twentieth Century,Albert Einstein,1996,St. Martin's Press
9500704021,El The Hombre Que Mira,Alberto Moravia,1987,Sudamericana
380774135,Rebellious Bride,Adrienne Day,1995,Harper Mass Market Paperbacks (Mm)
631168176,Children of the Ice: Climate and Human Origins,John R. Gribbin,1990,Blackwell Pub
8483105802,Lady Sings the Blues,Billie Holiday,1998,Tusquets
312136293,Zod Wallop,William Browning Spencer,1995,St Martins Pr
2212080,The eagle has landed,Jack Higgins,1975,Collins
380779994,A Love to Cherish,Connie Mason,1997,Harper Mass Market Paperbacks (Mm)
1842221175,Dream Working Handbook,Helen McLean,2002,Carlton Books
1858286018,The Rough Guide to Morocco,Rough Guides,2001,Rough Guides Limited
380978660,Suture Self: A Bed-And-Breakfast Mystery (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,2001,William Morrow &amp
451459067,Dhampir,Barb Hendee,2003,Roc
590477277,Ice Princess,Nicholas Walker,1994,Scholastic Paperbacks (Mm)
802110908,Waverly Place,Susan Brownmiller,1989,Pub Group West
871239183,Jamie Macleod Highland Lass (The Highland Collection Book I),Michael Phillips,1987,Baker Pub Group
963153226,Calligraphy Project Kit (Speedball),Joanne Fink,1994,Hard to Get Shop
441499724,Lord Kelvin's Machine,James P. Blaylock,1992,Ace Books
749429003,Know Yourself: Achieve Your Goals Through Better Self-Knowledge,Ellen Balke,1999,Kogan Page
080410722X,Seals: Udt/Seal Operations in Vietnam,T.L. Bosiljevac,1991,Ballantine Books
439205425,Helping Paws: Dogs That Serve,Melinda Luke,2002,Cartwheel Books
1879102463,Getting to Know ArcView GIS,Editors of ESRI Press,1999,ESRI Press
1551664518,Girl In The Mirror,Mary Monroe,1998,Mira
1558740163,Recovery from Rescuing,Jacqueline Castine,1989,Hci
3499226030,Fiesta.,Ernest Hemingway,2003,Rowohlt Tb.
451627466,The Decameron,Giovanni Boccaccio,1989,Signet Book
804103658,The Radiant Way,Margaret Drabble,1995,Ivy Books
843935812,Cheyenne Surrender,Madeline Baker,1994,Dorchester Publishing Co
8401497922,Susurros de Medianoche,V. C. Andrews,1994,Plaza &amp
671827847,EYES OF DARKNESS,Leigh Nichols,1981,Pocket
385264739,Children of the Alley : A Novel,NAGUIB MAHFOUZ,1996,Anchor
812924576,Fire on Ice: The Exclusive Inside Story of Tonya Harding,Abby Haight,1994,Random House Inc
64420639,Tornado (Trophy Chapter Book),Betsy Byars,1997,HarperTrophy
393319261,Disorderly Conduct: Excerpts from Actual Cases,Rodney R. Jones,1999,W.W. Norton &amp
836230477,Gb Joys Of Motherhood Dale,Barbara Dale,1993,Andrews McMeel Publishing
961634480,Lucky Lookdown: A Tale of Funny Fish (Suzanne Tate's Nature No. 6),Suzanne Tate,1989,Nags Head Art
451627237,The Iliad: The Story of Achilles,Homer,1991,Signet Book
312971494,Black and White,Dan Mahoney,2000,St. Martin's Press
553104047,Send No Flowers,Sandra Brown,1999,Bantam Dell Pub Group
006108140X,Promises/Some Are Made to Be Broken (Harper Monogram),Jeane Renick,1994,Harper Mass Market Paperbacks (Mm)
449139611,Susanna,Joan Dial,1978,Fawcett Books
679766588,The Last Sherlock Holmes Story (Vintage Crime/Black Lizard),MICHAEL DIBDIN,1996,Vintage
696025698,Better Homes and Gardens Pizzas: Cooking for Today (Cooking for Today),Better Homes and Gardens,1994,Better Homes and Gardens Books
449211134,Chimera,John Barth,1989,Fawcett Books
044661159X,In the Ocean of Night,Gregory Benford,2004,Aspect
575400064,Nicholas and Alexandra,Robert K. Massie,1996,Orion mass market paperback
8401485525,Madre Tierra Padre Cielo,Sue Harrison,1999,Plaza &amp
515135305,Catching Midnight,Emma Holly,2003,Jove Books
931580781,Life 101: Everything We Wish We Had Learned About Life in School--But Didn't (The Life 101 Series),Peter McWilliams,1994,Prelude Press
751302228,Palmistry (Predictions Library),David Barrett,1995,Dorling Kindersley
385243944,Information Anxiety,Richard Saul Wurman,1989,Bantam Dell Pub Group
553295276,Beauty,Sheri S. Tepper,1992,Bantam
670840475,Saving St. Germ,Carol Muske Dukes,1993,Penguin USA
821741950,Lady of Seven Emeralds,Clara Wimberly,1993,Zebra Books
307126846,Walt Disney's Cinderella (A Golden Look-Look Book),Nikki Grimes,1993,Random House Childrens Books
553379089,Bones of the Master : A Journey to Secret Mongolia,GEORGE CRANE,2001,Bantam
452267005,Dark Horse: The Private Life of George Harrison,Geoffrey Giuliano,1991,Penguin USA
671827294,MORK MINDY   NOVEL,Ralph Church,1978,Pocket
877799105,Merriam-Webster's Vocabulary Builder,Mary Wood Cornog,1994,Merriam-Webster
62505939,Chalk Talks on Alcohol (Quicksilver Book),Joseph C. Martin,1989,HarperSanFrancisco
1555133398,A Hug and a Kiss and a Kick in the Pants,Kay Kuzma,1987,Cook Communications Ministries intl
9681317084,LA Increible Y Triste Historica De LA Candida Erendira Y De Su Abuela Desalmada,Gabriel Garcia Marquez,1998,Giron Spanish Books Distributors
141303484,The Iron Ring (Novel),Lloyd Alexander,1999,Puffin Books
878053603,Conversations With John Steinbeck (Literary Conversations Series),Thomas Fensch,1988,University Press of Mississippi
2020094347,La passion selon Galatée: Roman,Suzanne Jacob,1987,Seuil
590452479,Hush Little Darling: A Christmas Song,Joan Elizabeth Goodman,1992,Scholastic
042508034X,One Minute Manager,Kenneth H. Blanchard,1984,Penguin Putnam~mass
046502436X,The First Three Minutes: A Modern View of the Origin of the Universe,Steven Weinberg,1988,Basic Books
486235289,Caruso's caricatures,Enrico Caruso,1977,Dover Publications
451409981,Without Sin,Charles Smithdeal,2001,Onyx Books
525943366,The Hunt for Life on Mars,Donald Goldsmith,1997,Dutton Books
155166268X,Fortune,Erica Spindler,1997,Mira
786248416,Found Dead in Texas (Five Star First Edition Mystery Series),Jan Grape,2002,Five Star (ME)
